##############################################################################
This file contains the nutritional information for 8 different chocolate bars
##############################################################################

Name	Calories	FatCal	TotalCal	Cholesterol	Sodium	Fiber	Sugar	Protein	Calcium	Nuts
Caramello	4.6285714	1.9142857	0.20000000	0.25714286	1.2285714	0	0.57142857	0.05714286	0.20000000	0
MilkyWay	4.2173913	1.3913043	0.17391304	0.13043478	2.3913043	0	0.60869565	0.04347826	0.13043478	0
Snickers	4.6666667	1.7192982	0.19298246	0.14035088	2.2807018	0.01754386	0.49122807	0.08771930	0.10526316	1
Twix	4.9824561	2.1929825	0.24561404	0.05263158	1.9298246	0.01754386	0.47368421	0.05263158	0.08771930	0
Rolos	4.7500000	1.8750000	0.20833333	0.12500000	1.8750000	0	0.64583333	0.04166667	0.14583333	0
PeppermintPatty 	3.8372093	0.65116279	0.06976744	0	0.27906977	0.02325581	0.62790698	0.02325581	0	0
Aero	5.1777778	2.5777778	0.28666667	0	0	0.00888889	0.57777778	0.06666667	0.04444444	0
Toblerone	5.2000000	2.3400000	0.26000000	0.20000000	0.50000000	0.02000000	0.54000000	0.06000000	0.04000000	0
